2026-05-06 22:55:11.009 [info] [LS Main] Starting language server from: /usr/share/antigravity/resources/app/extensions/antigravity/bin/language_server_linux_x64
2026-05-06 22:55:11.060 [info] [LS Main] Args: --csrf_token 97ddb41a-b11d-41ad-9b37-80b07de68763 --extension_server_port 44985 --extension_server_csrf_token ec312ac4-9c24-40b7-a3ec-b0a665e77138 --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-06 22:55:11.071 [info] [LS Main] Process spawned with PID: 5905
2026-05-06 22:55:11.239 [error] [LS Main stderr] I0506 22:55:11.202738  5905 server.go:1236] Starting language server process with pid 5905
W0507 20:24:35.800019  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0507 20:24:35.800050  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:25:35.802 [error] [LS Main stderr] E0507 20:25:35.800468  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-07 20:25:35.804 [error] [LS Main stderr] W0507 20:25:35.803477  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:25:35.803631  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0507 20:25:35.803852  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:26:35.800 [error] [LS Main stderr] E0507 20:26:35.800226  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-07 20:26:35.801 [error] [LS Main stderr] W0507 20:26:35.801513  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:26:35.801685  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0507 20:26:35.801805  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:27:35.802 [error] [LS Main stderr] E0507 20:27:35.800815  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-07 20:27:35.802 [error] [LS Main stderr] W0507 20:27:35.801836  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:27:35.801903  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
